标题,房屋属性,面积,所在楼层(总楼层),朝向,建造年份,小区名称,地址,附近交通,总价格,平均价格
老业主委托 有钥匙 店长力荐 海伦路地铁口 几年出一套 真香,2室2厅,104.28㎡,低层（共14层）,南向,2003年建,天星公寓,临平路-天水路69弄,距4号线海伦路站约285米,1090万,104526元/㎡
艺泰一品花园 105平2居 南北向精装修,2室2厅,105.31㎡,中层（共11层）,南北向,2017年建,艺泰一品花园,惠南-人民西路1533弄, ,330万,31336元/㎡
好房子好房子好房子! 南北向精装修 视野无遮挡 紧邻金桥公园,2室1厅,60.66㎡,高层（共6层）,南北向,1994年建,金巷小区,金桥-金巷小区,距9号线台儿庄路站约684米,350万,57698元/㎡
彩虹雅苑 82平2居 南北向精装修,2室2厅,82.71㎡,中层（共5层）,南北向,2008年建,彩虹雅苑,惠南-听悦路685弄、听悦路686弄, ,235万,28412元/㎡
!!!只做甄房源(专售大宁城)高区采光正看小区花园(满五),2室2厅,97.54㎡,中层（共32层）,南北向,2012年建,上海滩大宁城,大宁-上海滩大宁城,距1号线中山北路站约321米,1010万,103547元/㎡
"南北通透,底楼房,一楼送花园,中式风格",3室2厅,150.1㎡,低层（共30层）,南向,2007年建,仁恒河滨城二期,联洋-丁香路1399弄,距9号线芳甸路站约842米,2230万,148567元/㎡
"二即可到达地铁口的 3室2厅精装修拎包入住,无税",3室2厅,131.88㎡,低层（共18层）,南北向,2010年建,嘉秀新苑,丰庄-铜川路2655弄20-1604号, ,798万,60509元/㎡
"主卧朝南,繁华地段,配套完善,环境优美",2室1厅,67.65㎡,中层（共6层）,南向,1995年建,金杨一街坊,金杨-居家桥路737弄1-51号,距6号线云山路站约302米,465万,68736元/㎡
惠南小城 112平3居 南北向精装修,3室2厅,112.14㎡,低层（共6层）,南北向,2009年建,惠南小城,惠南-盐大路2603号, ,248万,22115元/㎡
华钜御庭 86平2居 南北向精装修,2室2厅,86.36㎡,低层（共18层）,南北向,2010年建,华钜御庭,惠南-拱极路2368弄29支弄, ,320万,37054元/㎡
华钜御庭 91平2居 南北向精装修,2室2厅,91.33㎡,高层（共18层）,南北向,2010年建,华钜御庭,惠南-拱极路2368弄29支弄, ,345万,37775元/㎡
金地城 138平3居 南北向精装修,3室2厅,138㎡,低层（共18层）,南北向,2016年建,金地城,惠南-靖海路547弄,距16号线惠南站约725米,480万,34782元/㎡
正南绿波城2室2厅精装修,2室2厅,86.9㎡,中层（共6层）,南向,2006年建,绿波城,唐镇-创新中路399弄,距2号线唐镇站约1041米,455万,52359元/㎡
电梯房 正南稀缺户型 厨卫两边 诚意出售 看房方便,1室1厅,41.36㎡,中层（共6层）,南向,1993年建,龙潭小区,阳城-龙潭小区,距7号线大华三路站约352米,294万,71083元/㎡
"同济朋友的房子,找我便宜,给我20万空间。别人也都联系我!",2室2厅,117.04㎡,低层（共8层）,南北向,2002年建,环龙公寓,花木-高科西路2907弄,距18号线芳芯路站约167米,800万,68352元/㎡
绿波城 86平2居 南向精装修,2室2厅,86.57㎡,低层（共6层）,南向,2006年建,绿波城,唐镇-创新中路399弄,距2号线唐镇站约1041米,435万,50248元/㎡
"南北通透,环境优美,精装修,品质小区",1室2厅,166.44㎡,高层（共20层）,南向,2004年建,第九城市,联洋-锦绣路300弄,距9号线芳甸路站约637米,2170万,130377元/㎡
